deployment_id,machine,project_identity,status,total_tasks,done,abandoned,failed,in_progress,gov_share_pct,gov_trend,first,last,duration_days,burden_fields,multi_dispatch_trend,burden_note,accretion_verdict,notes
puppost-povu,puppost,povu,archived,204,51,0,0,,0,,2026-05-15,2026-06-12,,,,not computed,unknown,
puppost-amplifier,puppost,amplifier,archived,201,4,0,0,,0,,2026-02-19,2026-02-19,,,,not computed,unknown,
puppost-poietic,puppost,poietic,archived,187,129,4,0,,11,,2026-04-01,2026-04-16,,,,not computed,unknown,
puppost-poietic.life,puppost,poietic.life,archived,178,155,9,4,,,,,,,,,not computed,unknown,
puppost-autohaiku,puppost,autohaiku,archived,176,1,0,0,,0,,2026-03-24,2026-03-24,,,,not computed,unknown,
puppost-grants_surf_nwo_hibernators,puppost,grants/surf_nwo_hibernators,archived,153,144,3,6,,,,,,,,,not computed,unknown,
puppost-grants_grant-b_R01,puppost,grants/grant-b_R01,archived,145,41,13,0,,,,,,,,,not computed,unknown,
puppost-llama.cpp,puppost,llama.cpp,archived,144,31,3,0,,0,,2026-06-22,2026-07-03,,,,not computed,unknown,
puppost-digitalmeasures,puppost,digitalmeasures,archived,136,126,0,6,,,,,,,,,not computed,unknown,
puppost-poietic_corporate,puppost,poietic/corporate,archived,133,129,4,0,,11,,2026-04-01,2026-04-16,,,,not computed,unknown,
puppost-attracty,puppost,attracty,archived,123,123,0,0,,,,,,,,,not computed,unknown,
puppost-grants_agentic-orgs,puppost,grants/agentic-orgs,archived,123,82,0,41,,,,,,,,,not computed,unknown,
puppost-sweepga,puppost,sweepga,archived,120,63,0,3,,,,,,,,,not computed,unknown,
puppost-grants_BIG_GN,puppost,grants/BIG_GN,archived,114,114,0,0,,,,,,,,,not computed,unknown,
puppost-dinosimz,puppost,dinosimz,archived,101,9,15,0,,0,,2026-07-20,2026-07-22,,,,not computed,unknown,
puppost-embopang26,puppost,embopang26,archived,99,66,0,33,,,,,,,,,not computed,unknown,
puppost-audiotoy,puppost,audiotoy,archived,81,79,0,0,,,,,,,,,not computed,unknown,
puppost-grants_cosigt-gnomad26,puppost,grants/cosigt-gnomad26,archived,63,34,0,29,,,,,,,,,not computed,unknown,
puppost-phrs.bak,puppost,phrs.bak,archived,57,14,0,0,,0,,2026-06-15,2026-06-16,,,,not computed,unknown,
puppost-bluntg,puppost,bluntg,archived,54,53,0,0,,,,,,,,,not computed,unknown,
puppost-waragraph,puppost,waragraph,archived,53,47,0,2,,,,,,,,,not computed,unknown,
puppost-wg_test-workgraph,puppost,wg/test-workgraph,archived,52,23,21,0,,0,,2026-04-27,2026-05-11,,,,not computed,unknown,
puppost-graphwork.github.io,puppost,graphwork.github.io,archived,51,10,0,0,,0,,2026-01-28,2026-01-28,,,,not computed,unknown,
puppost-agency.1,puppost,agency.1,archived,44,42,0,2,,,,,,,,,not computed,unknown,
puppost-embo-pangenomics-2027,puppost,embo-pangenomics-2027,archived,38,9,0,0,,0,,2026-06-19,2026-06-19,,,,not computed,unknown,
puppost-utpaystats,puppost,utpaystats,archived,37,25,0,0,,,,2026-07-27,2026-07-28,,,,not computed,unknown,
puppost-elman-proofs,puppost,elman-proofs,archived,29,29,0,0,,,,,,,,,not computed,unknown,
puppost-elman,puppost,elman,archived,28,25,2,0,,,,,,,,,not computed,unknown,
puppost-graphsummit2026,puppost,graphsummit2026,archived,24,24,0,0,,,,,,,,,not computed,unknown,
puppost-prsnt,puppost,prsnt,archived,24,20,0,0,,,,,,,,,not computed,unknown,
puppost-household,puppost,household,archived,23,13,1,0,,7,,2026-04-06,2026-04-09,,,,not computed,unknown,
puppost-biosketch,puppost,biosketch,archived,21,21,0,0,,,,,,,,,not computed,unknown,
puppost-wg-e2e-smoke,puppost,wg-e2e-smoke,archived,21,20,0,0,,,,,,,,,not computed,unknown,
puppost-ropebwt3,puppost,ropebwt3,archived,11,1,0,0,,100,,2026-02-24,2026-02-24,,,,not computed,unknown,
puppost-wg-demo,puppost,wg-demo,archived,9,3,0,0,,,,,,,,,not computed,unknown,
puppost-workgraph-mu-l-toasts_test-workgraph,puppost,workgraph-mu-l-toasts/test-workgraph,archived,8,4,0,1,,,,,,,,,not computed,unknown,
puppost-workgraph.1_test-workgraph,puppost,workgraph.1/test-workgraph,archived,8,4,0,1,,,,,,,,,not computed,unknown,
puppost-boof,puppost,boof,archived,6,0,4,0,,,,,,,,,not computed,unknown,
puppost-spinoza,puppost,spinoza,archived,5,5,0,0,,,,,,,,,not computed,unknown,
puppost-lewontin_paradox,puppost,lewontin_paradox,archived,3,0,0,0,,,,,,,,,not computed,unknown,
puppost-llms,puppost,llms,archived,1,0,0,0,,,,,,,,,not computed,unknown,
puppost-.claude.1,puppost,.claude.1,archived,0,0,0,0,,,,2026-02-23,2026-02-23,,,,not computed,unknown,
puppost-.wg,puppost,.wg,archived,0,0,0,0,,,,2026-04-06,2026-09-16,,,,not computed,unknown,
puppost-.workgraph,puppost,.workgraph,archived,0,0,0,0,,,,2026-04-06,2026-09-16,,,,not computed,unknown,
puppost-amplifier-bundle-workgraph,puppost,amplifier-bundle-workgraph,archived,0,0,0,0,,,,2026-02-24,2026-02-24,,,,not computed,unknown,
puppost-openrouter,puppost,openrouter,archived,0,0,0,0,,,,2026-03-12,2026-03-13,,,,not computed,unknown,
puppost-thinks.lol,puppost,thinks.lol,archived,0,0,0,0,,,,,,,,,not computed,unknown,
puppost-weatherbotz,puppost,weatherbotz,archived,0,0,0,0,,,,,,,,,not computed,unknown,
lambda01-anthropic-ai-science,lambda01,anthropic-ai-science,archived,17,17,0,,0,0.0,,2026-02-11,2026-02-11,,,,not computed,healthy-bounded,
lambda01-elman,lambda01,elman,archived,249,247,0,,0,16.9,,2026-02-01,2026-02-22,,,,not computed,healthy-bounded,
lambda01-elman-proofs,lambda01,elman-proofs,archived,29,29,0,,0,69.0,,2026-02-28,2026-03-01,,,,not computed,healthy-bounded,
lambda01-emender,lambda01,emender,archived,0,0,0,,0,,,,,,,,not computed,insufficient-data,
lambda01-graphwork.github.io,lambda01,graphwork.github.io,archived,10,10,0,,0,0.0,,2026-01-28,2026-01-28,,,,not computed,healthy-bounded,
lambda01-lcg,lambda01,lcg,archived,0,0,0,,0,,,,,,,,not computed,insufficient-data,
lambda01-localz,lambda01,localz,archived,0,0,0,,0,,,,,,,,not computed,insufficient-data,
lambda01-ndm,lambda01,ndm,live,2138,2011,38,,2,74.5,flat 74-76% across May-Aug,2026-05-23,2026-08-05,,dispatch_count,0.4->1.1->4.0->16.7% (end-of-campaign tail; avg flat 0.75-0.83),flat avg; rising multi only in wind-down,stable-machinery,
lambda01-grant-a_R01,lambda01,grant-a_R01,archived,69,68,0,,1,73.9,,2026-05-12,2026-05-21,,,,not computed,healthy-bounded,cross-machine w/ ulivo grant-a_R01
lambda01-phind,lambda01,phind,live,88,79,0,,5,29.5,33->8% declining,2026-08-01,2026-09-13,,dispatch_count,10.7->30.8% (RISING; live),WATCH-LIST: rising multi in live tail; avg 0.97->1.31,healthy-bounded,own corruption incident Aug 1 (recovery dir)
lambda01-phind.recovery-20260801T164014Z,lambda01,phind.recovery-20260801T164014Z,archived,0,0,0,,0,,,,,,,,not computed,insufficient-data,
lambda01-phrs,lambda01,phrs,archived,700,632,35,,2,71.6,,2026-03-31,2026-05-05,,,,not computed,healthy-bounded,cross-machine campaign w/ octopus01 phrs
octopus01-phrs,octopus01,phrs,archived,113,111,2,,,,,2026-03-31,2026-04-02,,,,not computed,healthy-bounded,"May 1 archive corruption, hand-recovered same day, zero task loss (full file-level evidence preserved)"
octopus01-lewontin-paradox,octopus01,lewontin-paradox,archived,78,77,1,,,,,2026-07-13,2026-07-25,,,,not computed,healthy-bounded,
octopus01-phind,octopus01,phind,archived,,,,,,,,,,,,,not computed,empty/early,
octopus01-workgraph.2/.workgraph,octopus01,workgraph.2/.workgraph,archived,,,,,,,,,,,,,not computed,test,
octopus01-workgraph.1/test-workgraph,octopus01,workgraph.1/test-workgraph,archived,,,,,,,,,,,,,not computed,test,
